Compound	m.z	Method	High.Confidence.Annotation	Compound.Name	HMDB	KEGG
HILp_QI7038__atenolol	267.1707	HILIC-pos	TRUE	Atenolol	HMDB0001924	C13235
C18n_QI71__hydrochlorothiazide	295.9574	C18-neg	TRUE	Hydrochlorothiazide	HMDB0001928	C07041
HILn_QI70__hydrochlorothiazide	295.9575	HILIC-neg	TRUE	Hydrochlorothiazide	HMDB0001928	C07041
C18n_TF7__furosemide	329.0004	C18-neg	TRUE	Furosemide	HMDB0001933	C07017
C18n_QI12__3-hydroxyoctanoate	159.1016	C18-neg	TRUE	3-Hydroxyoctanoic acid	HMDB0001954	NA
HILn_QI48__docosapentaenoate	329.249	HILIC-neg	TRUE	Docosapentaenoic acid (22n-6)	HMDB0001976	NA
C18n_QI42__docosapentaenoate	329.2487	C18-neg	TRUE	Docosapentaenoic acid (22n-6)	HMDB0001976	NA
HILp_TF4__7-methylxanthine	167.0567	HILIC-pos	TRUE	7-Methylxanthine	HMDB0001991	C16353
C18n_QI34__eicosapentaenoate	301.2175	C18-neg	TRUE	Eicosapentaenoic acid	HMDB0001999	C06428
HILn_QI50__eicosapentaenoate	301.2177	HILIC-neg	TRUE	Eicosapentaenoic acid	HMDB0001999	C06428
